filename,class,xmin,ymin,xmax,ymax,height,width
daySequence1--02603.jpg,go,883,0,946,95,1280,960
daySequence1--01080.jpg,go,607,373,625,403,1280,960
daySequence1--01093.jpg,go,743,425,761,455,1280,960
daySequence1--02197.jpg,stop,538,129,580,187,1280,960
daySequence1--02843.jpg,go,534,47,594,147,1280,960
daySequence1--01929.jpg,warning,609,317,633,353,1280,960
daySequence1--03474.jpg,stop,706,445,721,463,1280,960
daySequence1--00843.jpg,stop,608,381,626,408,1280,960
daySequence1--00626.jpg,stop,632,375,647,402,1280,960
daySequence1--03604.jpg,stop,702,414,714,432,1280,960
daySequence1--02463.jpg,stop,800,143,845,206,1280,960
daySequence1--03781.jpg,go,454,443,466,468,1280,960
daySequence1--01169.jpg,go,599,381,617,411,1280,960
daySequence1--00623.jpg,stop,636,390,648,408,1280,960
daySequence1--01251.jpg,go,800,399,818,429,1280,960
daySequence1--01862.jpg,go,784,450,796,470,1280,960
daySequence1--01163.jpg,go,361,432,379,462,1280,960
daySequence1--01304.jpg,go,828,390,846,420,1280,960
daySequence1--03202.jpg,go,508,449,520,469,1280,960
daySequence1--03977.jpg,go,834,331,852,366,1280,960
daySequence1--02941.jpg,go,696,396,711,416,1280,960
daySequence1--02340.jpg,stop,800,143,845,206,1280,960
daySequence1--01112.jpg,go,380,419,398,454,1280,960
daySequence1--00284.jpg,go,144,400,162,440,1280,960
daySequence1--00330.jpg,go,620,350,644,390,1280,960
daySequence1--02774.jpg,go,710,375,728,400,1280,960
daySequence1--01999.jpg,stop,1236,330,1275,379,1280,960
daySequence1--00172.jpg,stop,851,418,872,449,1280,960
daySequence1--00884.jpg,stop,608,381,626,408,1280,960
daySequence1--01904.jpg,warning,726,364,747,395,1280,960
daySequence1--00730.jpg,stop,383,429,401,456,1280,960
daySequence1--02473.jpg,stop,802,143,844,206,1280,960
daySequence1--01200.jpg,go,618,355,636,385,1280,960
daySequence1--01885.jpg,warning,627,385,645,412,1280,960
daySequence1--03830.jpg,go,672,404,690,439,1280,960
daySequence1--00937.jpg,stop,743,433,761,460,1280,960
daySequence1--03002.jpg,go,1064,406,1082,451,1280,960
daySequence1--02148.jpg,stop,800,143,845,206,1280,960
daySequence1--02744.jpg,go,697,391,712,416,1280,960
daySequence1--02592.jpg,go,536,42,587,127,1280,960
daySequence1--02593.jpg,go,532,47,586,122,1280,960
daySequence1--03222.jpg,go,630,419,642,439,1280,960
daySequence1--00871.jpg,stop,743,433,761,460,1280,960
daySequence1--01852.jpg,go,675,414,687,434,1280,960
daySequence1--02793.jpg,go,933,426,951,456,1280,960
daySequence1--00214.jpg,go,996,395,1014,425,1280,960
daySequence1--02504.jpg,stop,538,130,580,184,1280,960
daySequence1--02320.jpg,stop,802,143,844,206,1280,960
daySequence1--03383.jpg,go,190,387,208,417,1280,960
daySequence1--02333.jpg,stop,802,143,844,206,1280,960
daySequence1--01979.jpg,stop,553,189,595,256,1280,960
daySequence1--03828.jpg,go,446,443,461,468,1280,960
daySequence1--00541.jpg,stop,634,425,652,452,1280,960
daySequence1--00710.jpg,stop,610,382,628,409,1280,960
daySequence1--02099.jpg,go,689,427,701,447,1280,960
daySequence1--03296.jpg,go,691,393,703,413,1280,960
daySequence1--02586.jpg,go,671,418,683,438,1280,960
daySequence1--01904.jpg,warning,890,421,911,461,1280,960
daySequence1--03174.jpg,go,750,449,765,474,1280,960
daySequence1--03220.jpg,go,497,443,512,463,1280,960
daySequence1--02627.jpg,go,655,435,667,455,1280,960
daySequence1--03256.jpg,go,655,408,670,428,1280,960
daySequence1--02558.jpg,go,799,148,844,218,1280,960
daySequence1--01864.jpg,go,676,416,688,436,1280,960
daySequence1--00478.jpg,stop,643,435,655,453,1280,960
daySequence1--02434.jpg,stop,534,129,582,187,1280,960
daySequence1--00791.jpg,stop,383,431,401,458,1280,960
daySequence1--03951.jpg,go,466,405,481,435,1280,960
daySequence1--01104.jpg,go,379,424,397,454,1280,960
daySequence1--03076.jpg,warningLeft,794,86,854,153,1280,960
daySequence1--03402.jpg,go,567,261,582,286,1280,960
daySequence1--02133.jpg,stop,802,143,844,206,1280,960
daySequence1--03974.jpg,go,354,380,372,420,1280,960
daySequence1--03985.jpg,go,251,365,272,405,1280,960
daySequence1--03818.jpg,go,450,453,462,473,1280,960
daySequence1--01234.jpg,go,598,326,622,366,1280,960
daySequence1--01924.jpg,warning,610,324,637,360,1280,960
daySequence1--02666.jpg,go,760,470,775,495,1280,960
daySequence1--03855.jpg,go,433,424,448,454,1280,960
daySequence1--02515.jpg,stop,534,123,582,204,1280,960
daySequence1--02443.jpg,stop,800,143,845,206,1280,960
daySequence1--02597.jpg,go,518,15,587,115,1280,960
daySequence1--03956.jpg,go,459,403,477,433,1280,960
daySequence1--02380.jpg,stop,800,143,845,206,1280,960
daySequence1--02814.jpg,go,622,261,652,311,1280,960
daySequence1--02422.jpg,stop,800,143,845,206,1280,960
daySequence1--02567.jpg,go,751,462,766,492,1280,960
daySequence1--01124.jpg,go,742,425,760,455,1280,960
daySequence1--01293.jpg,go,585,301,603,331,1280,960
daySequence1--00859.jpg,stop,383,431,401,458,1280,960
daySequence1--02965.jpg,go,837,443,852,468,1280,960
daySequence1--01046.jpg,go,380,423,398,453,1280,960
daySequence1--03180.jpg,go,689,427,701,447,1280,960
daySequence1--00851.jpg,stop,384,431,402,458,1280,960
daySequence1--02482.jpg,stop,538,127,580,203,1280,960
daySequence1--03398.jpg,go,576,268,597,303,1280,960
daySequence1--01953.jpg,stop,762,267,795,312,1280,960
daySequence1--00949.jpg,stop,742,433,760,460,1280,960
daySequence1--00967.jpg,go,608,375,626,405,1280,960
daySequence1--03034.jpg,go,864,304,888,344,1280,960
daySequence1--03522.jpg,stop,514,459,526,481,1280,960
daySequence1--03911.jpg,go,947,445,962,475,1280,960
daySequence1--03355.jpg,go,706,365,718,385,1280,960
daySequence1--02538.jpg,go,748,450,763,470,1280,960
daySequence1--02405.jpg,go,750,450,762,470,1280,960
daySequence1--01125.jpg,go,743,426,761,456,1280,960
daySequence1--01191.jpg,go,606,371,624,401,1280,960
daySequence1--03603.jpg,stop,461,441,476,459,1280,960
daySequence1--02795.jpg,go,740,344,761,374,1280,960
daySequence1--03859.jpg,go,674,403,686,423,1280,960
daySequence1--03974.jpg,go,974,332,1001,372,1280,960
daySequence1--03192.jpg,go,731,457,743,477,1280,960
daySequence1--00288.jpg,go,906,403,927,438,1280,960
daySequence1--00960.jpg,go,608,376,626,406,1280,960
daySequence1--01177.jpg,go,358,430,376,460,1280,960
daySequence1--00748.jpg,stop,608,381,626,408,1280,960
daySequence1--01150.jpg,go,369,421,387,451,1280,960
daySequence1--01228.jpg,go,782,414,800,444,1280,960
daySequence1--02935.jpg,go,811,444,826,469,1280,960
daySequence1--02573.jpg,go,541,115,592,205,1280,960
daySequence1--03940.jpg,go,416,423,431,453,1280,960
daySequence1--03343.jpg,go,363,418,375,438,1280,960
daySequence1--01216.jpg,go,784,417,802,447,1280,960
daySequence1--02275.jpg,stop,533,117,584,216,1280,960
daySequence1--01126.jpg,go,606,373,624,403,1280,960
daySequence1--01352.jpg,go,350,223,374,268,1280,960
daySequence1--03022.jpg,go,876,319,897,354,1280,960
daySequence1--02361.jpg,stop,534,123,582,204,1280,960
daySequence1--02209.jpg,stop,803,144,842,202,1280,960
daySequence1--03909.jpg,go,682,394,697,424,1280,960
daySequence1--02139.jpg,stop,802,143,844,206,1280,960
daySequence1--03415.jpg,go,742,184,778,234,1280,960
daySequence1--03540.jpg,stop,655,429,667,447,1280,960
daySequence1--02583.jpg,go,540,64,594,164,1280,960
daySequence1--02682.jpg,go,685,427,697,447,1280,960
daySequence1--03902.jpg,go,754,396,772,426,1280,960
daySequence1--02286.jpg,stop,534,123,582,204,1280,960
daySequence1--03323.jpg,go,815,439,830,469,1280,960
daySequence1--02667.jpg,go,762,466,774,491,1280,960
daySequence1--00765.jpg,stop,608,381,626,408,1280,960
daySequence1--01201.jpg,go,353,415,371,445,1280,960
daySequence1--03244.jpg,go,701,409,713,429,1280,960
daySequence1--00904.jpg,stop,384,431,402,458,1280,960
daySequence1--00033.jpg,stop,739,438,754,456,1280,960
daySequence1--03240.jpg,go,696,412,708,432,1280,960
daySequence1--01946.jpg,warning,752,280,782,334,1280,960
daySequence1--01301.jpg,go,580,288,601,328,1280,960
daySequence1--03421.jpg,go,754,131,796,196,1280,960
daySequence1--01242.jpg,go,796,399,814,429,1280,960
daySequence1--00150.jpg,stop,787,421,808,448,1280,960
daySequence1--01905.jpg,warning,727,360,748,396,1280,960
daySequence1--00198.jpg,go,920,410,941,440,1280,960
daySequence1--01853.jpg,go,675,409,687,434,1280,960
daySequence1--02290.jpg,stop,533,123,584,199,1280,960
daySequence1--01915.jpg,warning,631,346,652,373,1280,960
daySequence1--03882.jpg,go,409,423,424,453,1280,960
daySequence1--04044.jpg,go,671,194,731,294,1280,960
daySequence1--00718.jpg,stop,610,381,628,408,1280,960
daySequence1--01340.jpg,go,500,273,518,303,1280,960
